Episode,TotalReward
1,-1199.9229342073718
2,-956.0907404268911
3,-1449.3681383537191
4,-1629.7294393903067
5,-183.45204146347805
6,-1381.2842352439588
7,122.186657499935
8,-461.81334250006546
9,-242.0907404268911
10,-640.6455362805433
11,446.82535646334804
12,289.6318616462828
13,-381.9229342073703
14,1783.825356463346
15,364.186657499935
16,-192.9229342073694
17,390.7414533535864
18,1992.1027543901723
19,1038.547958536522
20,1679.909259573108
21,2198.4640554267585
22,1329.1866574999349
23,2258.1027543901723
24,2050.825356463346
25,2151.186657499933
26,1879.4640554267598
27,2767.102754390172
28,1500.7414533535848
29,3015.7414533535843
30,3022.741453353585
31,3020.1027543901714
32,3050.3801523169977
33,2430.3801523169986
34,3796.657550243823
35,3488.01885128041
36,3586.657550243823
37,3628.657550243823
38,3284.01885128041
39,3432.3801523169973
40,3286.0188512804107
41,4299.934948170649
42,3456.01885128041
43,4281.934948170649
44,4233.9349481706495
45,3701.296249207236
46,3905.657550243823
47,3730.6575502438227
48,3511.3801523169973
49,3803.657550243823
50,3778.657550243823
