Episode,TotalReward
1,-2110.645536280546
2,-3020.2842352439584
3,-1463.0068373171325
4,-1655.284235243958
5,-186.813342500065
6,-1344.6455362805464
7,-812.3681383537172
8,-2379.2842352439584
9,-440.45204146347805
10,317.54795853652195
11,-833.6455362805438
12,-714.0907404268913
13,796.186657499935
14,385.9092595731089
15,316.82535646334804
16,-1133.0068373171316
17,1343.1027543901728
18,702.186657499935
19,1098.8253564633478
20,1509.7414533535862
21,-263.72943939030415
22,1348.018851280412
23,878.3801523170002
24,789.547958536522
25,898.1027543901741
26,1558.7414533535857
27,1553.3801523169996
28,689.186657499935
29,1528.4640554267603
30,1857.6575502438245
31,990.1027543901741
32,1715.7414533535853
33,1504.1027543901732
34,1928.0188512804107
35,1707.657550243825
36,1627.380152316999
37,2181.2962492072375
38,1815.0188512804116
39,1867.6575502438245
40,2065.0188512804107
41,2410.296249207237
42,1954.0188512804116
43,2379.93494817065
44,2063.018851280411
45,2405.657550243824
46,2457.2962492072365
47,2212.657550243824
48,2209.296249207237
49,2106.018851280411
50,2457.2962492072365
