Episode,TotalReward
1,-1106.4777300610217
2,-827.3681383537172
3,-1371.561633170783
4,-1970.2003321341972
5,-649.6455362805433
6,153.27056060969585
7,-259.6455362805433
8,-176.28423524395635
9,-1157.2842352439575
10,-1497.645536280545
11,817.547958536522
12,569.2705606096958
13,219.7414533535872
14,270.54795853652195
15,45.186657499934995
16,956.547958536522
17,713.186657499935
18,1471.186657499934
19,971.825356463348
20,339.54795853652195
21,805.9092595731089
22,220.99316268286975
23,1513.1027543901732
24,2455.6575502438236
25,674.1027543901741
26,1767.1027543901728
27,1036.3801523170002
28,1559.1027543901732
29,1049.3801523170002
30,1196.018851280413
31,1834.7414533535857
32,1465.6575502438259
33,2016.3801523169986
34,918.3801523170002
35,1072.0188512804134
36,2211.018851280411
37,1070.380152317
38,1095.018851280413
39,2266.657550243824
40,1309.018851280413
41,865.4640554267611
42,1027.3801523170002
43,1375.9349481706513
44,1196.018851280413
45,1088.3801523169996
46,1364.2962492072384
47,2525.6575502438236
48,2642.6575502438236
49,2970.657550243823
50,2776.296249207236
