Episode,TotalReward
1,948.1609689023915
2,397.27056060969585
3,1266.741453353587
4,1724.3801523169986
5,1171.4640554267608
6,2308.102754390172
7,818.7414533535872
8,-725.4452041463478
9,245.65755024382634
10,1174.8835709755654
11,911.2962492072394
12,-54.53594457323891
13,26.52226993897841
14,-904.6130103658695
15,1813.5479585365206
16,2046.1027543901723
17,731.7157647560437
18,2748.2962492072365
19,2040.1866574999335
20,2193.741453353585
21,1148.1609689023912
22,834.2962492072394
23,2474.741453353585
24,1803.0188512804116
25,1661.2705606096947
26,1917.8253564633465
27,2430.9349481706495
28,2430.9349481706495
29,2350.2962492072365
30,1426.2962492072375
31,2017.9349481706495
32,2298.9349481706495
33,2430.9349481706495
34,1836.9349481706495
35,1933.9349481706495
36,2430.9349481706495
37,2527.9349481706495
38,2430.9349481706495
39,2430.9349481706495
40,2430.9349481706495
41,2302.6575502438236
42,2430.9349481706495
43,2387.93494817065
44,2430.9349481706495
45,2430.9349481706495
46,2430.9349481706495
47,1958.9349481706495
48,2430.9349481706495
49,2430.9349481706495
50,2430.9349481706495
